"","SPECIES.NAME","freq"
"288","Black-winged Stilt | Himantopus himantopus",0.00247592847317744
"289","Tytler's Leaf Warbler | Phylloscopus tytleri",0.00247592847317744
"290","Common/Stejneger's Stonechat (Siberian/Stejneger's Stonechat) | Saxicola maurus",0.00239339752407153
"291","Olive-backed Pipit | Anthus hodgsoni",0.00236588720770289
"292","Pallid Harrier | Circus macrourus",0.00233837689133425
"293","Northern Pintail | Anas acuta",0.00231086657496561
"294","Rufous-tailed Lark | Ammomanes phoenicura",0.00217331499312242
"295","Crested Bunting | Melophus lathami",0.00214580467675378
"296","Broad-tailed Grassbird | Schoenicola platyurus",0.00211829436038514
"297","Eurasian Moorhen | Gallinula chloropus",0.00211829436038514
"298","Sulphur-bellied Warbler | Phylloscopus griseolus",0.00209078404401651
"299","Indian Vulture (Indian Long-billed Vulture) | Gyps indicus",0.00203576341127923
"300","Streak-throated Swallow | Petrochelidon fluvicola",0.00200825309491059
"301","Small Pratincole | Glareola lactea",0.00198074277854195
"302","Black-capped Kingfisher | Halcyon pileata",0.00195323246217331
"303","Eurasian Sparrowhawk | Accipiter nisus",0.00195323246217331
"304","White-naped Woodpecker | Chrysocolaptes festivus",0.00192572214580468
"305","Hume's Whitethroat | Sylvia althaea",0.00189821182943604
"306","Indian Bushlark (Red-winged Bushlark) | Mirafra erythroptera",0.00184319119669876
"307","White-bellied Minivet | Pericrocotus erythropygius",0.00178817056396149
"308","Large Hawk-Cuckoo | Hierococcyx sparverioides",0.00176066024759285
"309","Yellow-throated Bulbul | Pycnonotus xantholaemus",0.00176066024759285
"310","Alexandrine Parakeet | Psittacula eupatria",0.00170563961485557
"311","Common Babbler | Turdoides caudata",0.00156808803301238
"312","Eurasian Crag-Martin | Ptyonoprogne rupestris",0.00154057771664374
"313","Painted Francolin | Francolinus pictus",0.00154057771664374
"314","Golden-headed Cisticola (Bright-headed Cisticola) | Cisticola exilis",0.00145804676753783
"315","Common Chiffchaff | Phylloscopus collybita",0.00143053645116919
"316","Ultramarine Flycatcher | Ficedula superciliaris",0.00132049518569464
"317","Lesser Adjutant | Leptoptilos javanicus",0.00123796423658872
"318","Sykes's Warbler | Iduna rama",0.00123796423658872
"319","Cinnamon Bittern | Ixobrychus cinnamomeus",0.00121045392022008
"320","Common House-Martin (Northern House-Martin) | Delichon urbicum",0.00121045392022008
"321","Black Redstart | Phoenicurus ochruros",0.00118294360385144
"322","Tawny Eagle | Aquila rapax",0.00118294360385144
"323","Barred Buttonquail | Turnix suscitator",0.00115543328748281
"324","Pheasant-tailed Jacana | Hydrophasianus chirurgus",0.00115543328748281
"325","Montagu's Harrier | Circus pygargus",0.00112792297111417
"326","Red Avadavat | Amandava amandava",0.00112792297111417
"327","Grey-headed Fish-Eagle | Ichthyophaga ichthyaetus",0.00110041265474553
"328","Hume's Warbler | Phylloscopus humei",0.00110041265474553
"329","Northern Shoveler | Anas clypeata",0.00110041265474553
"330","Pin-tailed Snipe | Gallinago stenura",0.00110041265474553
"331","Garganey | Anas querquedula",0.00107290233837689
"332","Eurasian Spoonbill | Platalea leucorodia",0.00101788170563961
"333","Glossy Ibis | Plegadis falcinellus",0.00101788170563961
"334","Lesser Whitethroat | Sylvia curruca",0.000907840440165062
"335","Malayan Night-Heron | Gorsachius melanolophus",0.000907840440165062
"336","Paddyfield Warbler | Acrocephalus agricola",0.000907840440165062
"337","Sri Lanka Bay-Owl | Phodilus assimilis",0.000907840440165062
"338","Richard's Pipit | Anthus richardi",0.000880330123796424
"339","Southern Grey Shrike | Lanius meridionalis",0.000880330123796424
"340","Blyth's Swift (Fork-tailed Swift) | Apus leuconyx",0.000852819807427785
"341","Common Pochard | Aythya ferina",0.000852819807427785
"342","Barn Owl | Tyto alba",0.000770288858321871
"343","Black Stork | Ciconia nigra",0.000770288858321871
"344","Chestnut-winged Cuckoo | Clamator coromandus",0.000770288858321871
"345","Sykes's Lark (Tawny Lark) | Galerida deva",0.000770288858321871
"346","Tawny Pipit | Anthus campestris",0.000770288858321871
"347","Western Reef-Heron (Western Reef-Egret) | Egretta gularis",0.000770288858321871
"348","Green-winged Teal (Common Teal) | Anas crecca",0.000742778541953232
"349","Spot-billed Pelican | Pelecanus philippensis",0.000742778541953232
"350","Common Cuckoo | Cuculus canorus",0.000687757909215956
"351","Greater Spotted Eagle | Clanga clanga",0.000687757909215956
"352","Lesser Coucal | Centropus bengalensis",0.000687757909215956
"353","Ruddy Shelduck (Brahminy Duck) | Tadorna ferruginea",0.000687757909215956
"354","Common Snipe | Gallinago gallinago",0.000660247592847318
"355","Black Bittern | Ixobrychus flavicollis",0.00063273727647868
"356","Long-billed Pipit | Anthus similis",0.00063273727647868
"357","Red Collared-Dove (Red Turtle-Dove) | Streptopelia tranquebarica",0.00063273727647868
"358","Rock Eagle-Owl (Indian Eagle-Owl) | Bubo bengalensis",0.00063273727647868
"359","Gull-billed Tern | Gelochelidon nilotica",0.000605226960110041
"360","Little Stint | Calidris minuta",0.000605226960110041
"361","Grey-hooded Bunting (Grey-necked Bunting) | Emberiza buchanani",0.000577716643741403
"362","Kashmir Flycatcher | Ficedula subrubra",0.000577716643741403
"363","Tufted Duck | Aythya fuligula",0.000577716643741403
"364","Blyth's Pipit | Anthus godlewskii",0.000550206327372765
"365","Kentish Plover | Charadrius alexandrinus",0.000550206327372765
"366","Rain Quail | Coturnix coromandelica",0.000550206327372765
"367","Rock Bush-Quail | Perdicula argoondah",0.000550206327372765
"368","Black-headed Bunting | Emberiza melanocephala",0.000495185694635488
"369","Common Grasshopper-Warbler | Locustella naevia",0.000495185694635488
"370","Indian Spotted Eagle | Clanga hastata",0.00046767537826685
"371","Painted Spurfowl | Galloperdix lunulata",0.00046767537826685
"372","Red-necked Falcon | Falco chicquera",0.00046767537826685
"373","Citrine Wagtail | Motacilla citreola",0.000440165061898212
"374","Indian Thick-knee (Indian Stone-curlew) | Burhinus indicus",0.000440165061898212
"375","Lesser Kestrel | Falco naumanni",0.000440165061898212
"376","Watercock | Gallicrex cinerea",0.000440165061898212
"377","Bar-headed Goose | Anser indicus",0.000412654745529574
"378","Jerdon's Baza | Aviceda jerdoni",0.000412654745529574
"379","Marsh Sandpiper | Tringa stagnatilis",0.000412654745529574
"380","Amur Falcon | Falco amurensis",0.000330123796423659
"381","Eurasian Hobby | Falco subbuteo",0.000330123796423659
"382","European Bee-eater | Merops apiaster",0.000330123796423659
"383","Red-headed Bunting | Emberiza bruniceps",0.000330123796423659
"384","Ruddy-breasted Crake | Zapornia fusca",0.000330123796423659
"385","Steppe Eagle | Aquila nipalensis",0.000330123796423659
"386","Temminck's Stint | Calidris temminckii",0.000330123796423659
"387","Egyptian Vulture | Neophron percnopterus",0.000302613480055021
"388","Asian Pied Starling (Pied Myna) | Gracupica contra",0.000275103163686382
"389","Common Redshank | Tringa totanus",0.000275103163686382
"390","Eurasian Wigeon | Anas penelope",0.000275103163686382
"391","Great Thick-knee (Great Stone-curlew) | Esacus recurvirostris",0.000275103163686382
"392","Bluethroat | Luscinia svecica",0.000247592847317744
"393","Brown Crake | Zapornia akool",0.000247592847317744
"394","Gadwall | Anas strepera",0.000247592847317744
"395","Laggar Falcon | Falco jugger",0.000247592847317744
"396","Square-tailed Drongo-Cuckoo | Surniculus lugubris",0.000247592847317744
"397","Yellow-legged Buttonquail | Turnix tanki",0.000247592847317744
"398","Brown-headed Gull | Chroicocephalus brunnicephalus",0.000220082530949106
"399","Eurasian Wryneck | Jynx torquilla",0.000220082530949106
